gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,year,taxonKey,speciesKey
1456760753,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum hammondi,SPECIES,"Lasioglossum hammondi (Cockerell, 1938)",Chis,California,1,34.0594,-119.9198,2012,1353942,1353942
1456760893,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Chis,California,1,34.0594,-119.9198,2012,5042846,
1456760857,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum hammondi,SPECIES,"Lasioglossum hammondi (Cockerell, 1938)",Chis,California,1,34.0594,-119.9198,2012,1353942,1353942
1456761034,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum hammondi,SPECIES,"Lasioglossum hammondi (Cockerell, 1938)",Chis,California,1,34.0594,-119.9198,2012,1353942,1353942
1456712348,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,Perdita albonotata,SPECIES,"Perdita albonotata Timberlake, 1954",Mojave National Preserve,California,1,34.8794,-115.7808,2012,1356129,1356129
1456762896,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Halictus,Halictus farinosus,SPECIES,"Halictus farinosus Smith, 1853",Chis,California,1,34.0185,-119.6839,2012,1353425,1353425
1456764984,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Chis,California,1,34.06,-119.9558,2012,5042846,
4023724122,Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae,Agenioideus,Agenioideus birkmanni,SPECIES,"Agenioideus birkmanni (Banks, 1910)",Samo,California,1,34.1495,-118.9604,2012,8198467,8198467
1456765549,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,,GENUS,"Lasioglossum Curtis, 1833",Chis,California,1,34.06,-119.9558,2012,1353501,
1456767592,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum incompletum,SPECIES,"Lasioglossum incompletum (Crawford, 1907)",Chis,California,1,34.0185,-119.6839,2012,1355006,1355006
2459013327,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",San Dimas Experimental Forest,California,1,34.2025,-116.2607,2010,1341976,1341976
1456633171,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,,GENUS,"Lasioglossum Curtis, 1833",Point Reyes National Seashore,California,1,38.0456,-122.8636,2011,1353501,
1456706971,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Samo,California,1,34.0312,-118.8105,2011,1341976,1341976
1456707058,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Samo,California,1,34.1495,-118.9604,2011,1341976,1341976
1456707346,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Samo,California,1,34.1495,-118.9604,2011,1341976,1341976
1456708111,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Samo,California,1,34.0141,-118.8202,2011,1341976,1341976
1456702477,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,,GENUS,"Lasioglossum Curtis, 1833",Redwood National Park,California,1,41.2879,-124.0917,2011,1353501,
1456702563,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum pacificum,SPECIES,"Lasioglossum pacificum (Cockerell, 1898)",Redwood National Park,California,1,41.2287,-123.9757,2011,1354597,1354597
1456702754,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena cuneilabris,SPECIES,"Andrena cuneilabris Viereck, 1926",Redwood National Park,California,1,41.2287,-123.9757,2011,1356932,1356932
1456688032,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Mojave National Preserve,California,1,34.8681,-115.7731,2011,1341976,1341976
1456688302,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Mojave National Preserve,California,1,34.8681,-115.7731,2011,1341976,1341976
1456688393,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Mojave National Preserve,California,1,34.8681,-115.7731,2011,1341976,1341976
5070329716,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Samo,California,1,34.0312,-118.8105,2011,1341976,1341976
1456707017,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Samo,California,1,34.0312,-118.8105,2011,5042846,
5070329719,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Samo,California,1,34.0312,-118.8105,2011,5042846,
1456707282,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Samo,California,1,34.0312,-118.8105,2011,1341976,1341976
1456708064,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum incompletum,SPECIES,"Lasioglossum incompletum (Crawford, 1907)",Samo,California,1,34.1495,-118.9604,2011,1355006,1355006
4023720686,Animalia,Arthropoda,Insecta,Hymenoptera,Crabronidae,Xenosphex,,GENUS,"Xenosphex F.Williams, 1954",Mojave National Preserve,California,1,34.8681,-115.7731,2011,4298201,
1456709303,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Mojave National Preserve,California,1,34.8681,-115.7731,2011,1341976,1341976
5070329737,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Mojave National Preserve,California,1,34.8681,-115.7731,2011,1341976,1341976
1456712287,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,Perdita albonotata,SPECIES,"Perdita albonotata Timberlake, 1954",Mojave National Preserve,California,1,34.8794,-115.7808,2012,1356129,1356129
4023726605,Animalia,Arthropoda,Insecta,,,,,CLASS,Insecta,Mojave National Preserve,California,1,34.8794,-115.7808,2012,216,
1456712344,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,Perdita albonotata,SPECIES,"Perdita albonotata Timberlake, 1954",Mojave National Preserve,California,1,34.8794,-115.7808,2012,1356129,1356129
1456702408,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum pavonotum,SPECIES,"Lasioglossum pavonotum (Cockerell, 1925)",Redwood National Park,California,1,41.2879,-124.0917,2011,1354236,1354236
1456702713,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Eucera,Eucera frater,SPECIES,"Eucera frater (Cresson, 1879)",Redwood National Park,California,1,41.2287,-123.9757,2011,1341050,1341050
1456702902,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum nevadense,SPECIES,"Lasioglossum nevadense (Crawford, 1907)",Redwood National Park,California,1,41.2287,-123.9757,2011,1353867,1353867
1456702956,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Redwood National Park,California,1,41.7654,-124.0352,2011,5042846,
1456702597,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum pacificum,SPECIES,"Lasioglossum pacificum (Cockerell, 1898)",Redwood National Park,California,1,41.2287,-123.9757,2011,1354597,1354597
1456702758,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena cuneilabris,SPECIES,"Andrena cuneilabris Viereck, 1926",Redwood National Park,California,1,41.2287,-123.9757,2011,1356932,1356932
1456706900,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Samo,California,1,34.0312,-118.8105,2011,1341976,1341976
1456707370,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,Osmia nemoris,SPECIES,"Osmia nemoris Sandhouse, 1924",Samo,California,1,34.1495,-118.9604,2011,5039105,5039105
1456708159,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Samo,California,1,34.0141,-118.8202,2011,5042846,
1456708219,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Samo,California,1,34.0312,-118.8105,2011,5042846,
1456708474,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Martinapis,Martinapis occidentalis,SPECIES,"Martinapis occidentalis Zavortink & LaBerge, 1976",Mojave National Preserve,California,1,34.8681,-115.7731,2011,1342638,1342638
1456708435,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Martinapis,Martinapis occidentalis,SPECIES,"Martinapis occidentalis Zavortink & LaBerge, 1976",Mojave National Preserve,California,1,34.8794,-115.7808,2011,1342638,1342638
1456709467,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Diadasia,Diadasia australis,SPECIES,"Diadasia australis (Cresson, 1879)",Mojave National Preserve,California,1,34.8681,-115.7731,2011,1341161,1341161
1456712201,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,Perdita elegans,SPECIES,"Perdita elegans Timberlake, 1960",Mojave National Preserve,California,1,34.8794,-115.7808,2012,1356290,1356290
1456712346,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,Perdita albonotata,SPECIES,"Perdita albonotata Timberlake, 1954",Mojave National Preserve,California,1,34.8794,-115.7808,2012,1356129,1356129
1456707406,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Halictus,Halictus tripartitus,SPECIES,"Halictus tripartitus Cockerell, 1895",Samo,California,1,34.1495,-118.9604,2011,1353319,1353319
1456708161,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum incompletum,SPECIES,"Lasioglossum incompletum (Crawford, 1907)",Samo,California,1,34.0312,-118.8105,2011,1355006,1355006
1456708456,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Martinapis,Martinapis occidentalis,SPECIES,"Martinapis occidentalis Zavortink & LaBerge, 1976",Mojave National Preserve,California,1,34.8794,-115.7808,2011,1342638,1342638
1456709324,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Mojave National Preserve,California,1,34.8681,-115.7731,2011,5042846,
1456709447,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Megandrena,Megandrena enceliae,SPECIES,"Megandrena enceliae (Cockerell, 1927)",Mojave National Preserve,California,1,34.8681,-115.7731,2011,1356739,1356739
