state,county_code,county_name,year,pcp_mean,tavg_mean,n_months,yield
CA,077,San Joaquin County,2023,1.43,61.55,4,44.96
CA,085,Santa Clara County,2023,2.6300000000000003,56,4,53.63
CA,095,Solano County,2013,0.5125,64.8,4,39.33
CA,095,Solano County,2014,0.9624999999999999,64.8,4,43.5
CA,095,Solano County,2015,0.39749999999999996,64.2,4,44.73
CA,095,Solano County,2016,1.81,64.3,4,46.43
CA,095,Solano County,2017,1.555,63.650000000000006,4,41.63
CA,095,Solano County,2018,1.8224999999999998,62,4,44.79
CA,095,Solano County,2019,1.8125,62.8,4,49.66
CA,095,Solano County,2020,0.73,63.650000000000006,4,51.34
CA,095,Solano County,2021,0.325,63.650000000000006,4,54.07
CA,095,Solano County,2022,0.435,64.15,4,37.84
CA,095,Solano County,2023,2.145,59.575,4,43.04
CA,099,Stanislaus County,2013,0.37,65.4,4,37.92
CA,099,Stanislaus County,2014,0.67,65.175,4,45.7
CA,099,Stanislaus County,2015,0.3125,65.25,4,43.05
CA,099,Stanislaus County,2016,1.585,65.05,4,39.8
CA,099,Stanislaus County,2017,0.8725,64.575,4,39.62
CA,099,Stanislaus County,2018,1.29,63.15,4,41.88
CA,099,Stanislaus County,2019,1.3125,63.425,4,45.64
CA,099,Stanislaus County,2020,1.005,63.475,4,45.47
CA,099,Stanislaus County,2021,0.29000000000000004,64.25,4,48.24
CA,099,Stanislaus County,2022,0.38,64.35,4,44.31
CA,099,Stanislaus County,2023,1.445,60.55,4,48.39
CA,101,Sutter County,2013,0.8099999999999999,67.15,4,38.71
CA,101,Sutter County,2014,0.89,67.7,4,44.2
CA,101,Sutter County,2015,0.4375,67.775,4,44.92
CA,101,Sutter County,2016,1.9675,67.225,4,47.9
CA,101,Sutter County,2017,1.465,66.6,4,38.19
CA,101,Sutter County,2018,1.865,65,4,42.5
CA,101,Sutter County,2019,1.9,65.475,4,40.77
CA,101,Sutter County,2020,0.73,66.1,4,47.19
CA,101,Sutter County,2021,0.39,66.95,4,44.95
CA,101,Sutter County,2022,0.485,66.4,4,39.04
CA,101,Sutter County,2023,1.765,63.125,4,43.06
CA,103,Tehama County,2022,1.245,60.825,4,43.33
CA,103,Tehama County,2023,4.005,57.4,4,48.98
CA,107,Tulare County,2020,2.105,55.025,4,40.48
CA,107,Tulare County,2021,0.545,57.275,4,72.32
CA,107,Tulare County,2023,3.4025,52.625,4,71.62
CA,113,Yolo County,2013,0.6775,65.9,4,46.29
CA,113,Yolo County,2014,0.98,66.3,4,46.46
CA,113,Yolo County,2015,0.405,66,4,48.62
CA,113,Yolo County,2016,2,65.725,4,46.9
CA,113,Yolo County,2017,1.515,64.875,4,43.08
CA,113,Yolo County,2018,1.7925,63.025000000000006,4,47.4
CA,113,Yolo County,2019,2.0975,63.925,4,44.94
CA,113,Yolo County,2020,0.6875,64.5,4,45.81
CA,113,Yolo County,2021,0.34,65.5,4,49.72
CA,113,Yolo County,2022,0.535,65,4,45.55
CA,113,Yolo County,2023,2.1925,60.975,4,49.76
CA,115,Yuba County,2023,3.305,59.875,4,46.83
