state,county_code,county_name,state_county,date,value
CA,001,Alameda County,CA-001,201303,55.2
CA,001,Alameda County,CA-001,201403,56.9
CA,001,Alameda County,CA-001,201503,59.1
CA,001,Alameda County,CA-001,201603,55.1
CA,001,Alameda County,CA-001,201703,55.5
CA,001,Alameda County,CA-001,201803,51.9
CA,001,Alameda County,CA-001,201903,51.9
CA,001,Alameda County,CA-001,202003,51.5
CA,001,Alameda County,CA-001,202103,51.9
CA,001,Alameda County,CA-001,202203,55.5
CA,001,Alameda County,CA-001,202303,48.5
CA,003,Alpine County,CA-003,201303,38.5
CA,003,Alpine County,CA-003,201403,37.1
CA,003,Alpine County,CA-003,201503,41.6
CA,003,Alpine County,CA-003,201603,37.4
CA,003,Alpine County,CA-003,201703,38
CA,003,Alpine County,CA-003,201803,32.1
CA,003,Alpine County,CA-003,201903,32.4
CA,003,Alpine County,CA-003,202003,32.3
CA,003,Alpine County,CA-003,202103,32.9
CA,003,Alpine County,CA-003,202203,38.3
CA,003,Alpine County,CA-003,202303,28.3
CA,005,Amador County,CA-005,201303,53.1
CA,005,Amador County,CA-005,201403,52.8
CA,005,Amador County,CA-005,201503,57.1
CA,005,Amador County,CA-005,201603,50.8
CA,005,Amador County,CA-005,201703,51.8
CA,005,Amador County,CA-005,201803,47.4
CA,005,Amador County,CA-005,201903,47.4
CA,005,Amador County,CA-005,202003,46.8
CA,005,Amador County,CA-005,202103,47.4
CA,005,Amador County,CA-005,202203,52.4
CA,005,Amador County,CA-005,202303,42.7
CA,007,Butte County,CA-007,201303,54.2
CA,007,Butte County,CA-007,201403,54.1
CA,007,Butte County,CA-007,201503,58.2
CA,007,Butte County,CA-007,201603,52.7
CA,007,Butte County,CA-007,201703,53.3
CA,007,Butte County,CA-007,201803,49.5
CA,007,Butte County,CA-007,201903,50
CA,007,Butte County,CA-007,202003,50.2
CA,007,Butte County,CA-007,202103,50.1
CA,007,Butte County,CA-007,202203,55.6
CA,007,Butte County,CA-007,202303,45.3
CA,009,Calaveras County,CA-009,201303,53.6
CA,009,Calaveras County,CA-009,201403,53.1
CA,009,Calaveras County,CA-009,201503,57.3
CA,009,Calaveras County,CA-009,201603,51.3
CA,009,Calaveras County,CA-009,201703,52.2
CA,009,Calaveras County,CA-009,201803,47.2
CA,009,Calaveras County,CA-009,201903,47.8
CA,009,Calaveras County,CA-009,202003,47.5
CA,009,Calaveras County,CA-009,202103,47.7
CA,009,Calaveras County,CA-009,202203,53
CA,009,Calaveras County,CA-009,202303,43.1
CA,011,Colusa County,CA-011,201303,55.5
CA,011,Colusa County,CA-011,201403,56.5
CA,011,Colusa County,CA-011,201503,60.2
CA,011,Colusa County,CA-011,201603,54.7
CA,011,Colusa County,CA-011,201703,55.2
CA,011,Colusa County,CA-011,201803,51.4
CA,011,Colusa County,CA-011,201903,51.3
CA,011,Colusa County,CA-011,202003,51.8
CA,011,Colusa County,CA-011,202103,51.6
CA,011,Colusa County,CA-011,202203,56
CA,011,Colusa County,CA-011,202303,46.6
CA,013,Contra Costa County,CA-013,201303,56.4
CA,013,Contra Costa County,CA-013,201403,57.7
CA,013,Contra Costa County,CA-013,201503,60.8
CA,013,Contra Costa County,CA-013,201603,55.9
CA,013,Contra Costa County,CA-013,201703,56.6
CA,013,Contra Costa County,CA-013,201803,52.7
CA,013,Contra Costa County,CA-013,201903,52.8
CA,013,Contra Costa County,CA-013,202003,52.3
CA,013,Contra Costa County,CA-013,202103,53
CA,013,Contra Costa County,CA-013,202203,57.3
