state,county_code,county_name,state_county,date,value,year,month
CA,001,Alameda County,CA-001,201304,0.69,2013,4
CA,001,Alameda County,CA-001,201404,1.36,2014,4
CA,001,Alameda County,CA-001,201504,1.15,2015,4
CA,001,Alameda County,CA-001,201604,1.94,2016,4
CA,001,Alameda County,CA-001,201704,2.5,2017,4
CA,001,Alameda County,CA-001,201804,2.44,2018,4
CA,001,Alameda County,CA-001,201904,0.47,2019,4
CA,001,Alameda County,CA-001,202004,1.54,2020,4
CA,001,Alameda County,CA-001,202104,0.1,2021,4
CA,001,Alameda County,CA-001,202204,1.35,2022,4
CA,001,Alameda County,CA-001,202304,0.13,2023,4
CA,003,Alpine County,CA-003,201304,1.63,2013,4
CA,003,Alpine County,CA-003,201404,1.54,2014,4
CA,003,Alpine County,CA-003,201504,2.52,2015,4
CA,003,Alpine County,CA-003,201604,3.1,2016,4
CA,003,Alpine County,CA-003,201704,6.95,2017,4
CA,003,Alpine County,CA-003,201804,3.18,2018,4
CA,003,Alpine County,CA-003,201904,1.74,2019,4
CA,003,Alpine County,CA-003,202004,3.12,2020,4
CA,003,Alpine County,CA-003,202104,0.9,2021,4
CA,003,Alpine County,CA-003,202204,3.24,2022,4
CA,003,Alpine County,CA-003,202304,0.7,2023,4
CA,005,Amador County,CA-005,201304,1.56,2013,4
CA,005,Amador County,CA-005,201404,2.6,2014,4
CA,005,Amador County,CA-005,201504,3.09,2015,4
CA,005,Amador County,CA-005,201604,3.38,2016,4
CA,005,Amador County,CA-005,201704,5.82,2017,4
CA,005,Amador County,CA-005,201804,4.16,2018,4
CA,005,Amador County,CA-005,201904,2.14,2019,4
CA,005,Amador County,CA-005,202004,3.43,2020,4
CA,005,Amador County,CA-005,202104,0.35,2021,4
CA,005,Amador County,CA-005,202204,3.74,2022,4
CA,005,Amador County,CA-005,202304,0.37,2023,4
CA,007,Butte County,CA-007,201304,0.93,2013,4
CA,007,Butte County,CA-007,201404,1.36,2014,4
CA,007,Butte County,CA-007,201504,2.24,2015,4
CA,007,Butte County,CA-007,201604,1.92,2016,4
CA,007,Butte County,CA-007,201704,6.4,2017,4
CA,007,Butte County,CA-007,201804,5.39,2018,4
CA,007,Butte County,CA-007,201904,2.64,2019,4
CA,007,Butte County,CA-007,202004,1.92,2020,4
CA,007,Butte County,CA-007,202104,0.51,2021,4
CA,007,Butte County,CA-007,202204,3.79,2022,4
CA,007,Butte County,CA-007,202304,1.34,2023,4
CA,009,Calaveras County,CA-009,201304,1.54,2013,4
CA,009,Calaveras County,CA-009,201404,2.37,2014,4
CA,009,Calaveras County,CA-009,201504,2.64,2015,4
CA,009,Calaveras County,CA-009,201604,3.09,2016,4
CA,009,Calaveras County,CA-009,201704,5.63,2017,4
CA,009,Calaveras County,CA-009,201804,4.16,2018,4
CA,009,Calaveras County,CA-009,201904,1.83,2019,4
CA,009,Calaveras County,CA-009,202004,2.97,2020,4
CA,009,Calaveras County,CA-009,202104,0.24,2021,4
CA,009,Calaveras County,CA-009,202204,3.41,2022,4
CA,009,Calaveras County,CA-009,202304,0.24,2023,4
CA,011,Colusa County,CA-011,201304,0.82,2013,4
CA,011,Colusa County,CA-011,201404,1.34,2014,4
CA,011,Colusa County,CA-011,201504,1.78,2015,4
CA,011,Colusa County,CA-011,201604,0.79,2016,4
CA,011,Colusa County,CA-011,201704,2.48,2017,4
CA,011,Colusa County,CA-011,201804,2.82,2018,4
CA,011,Colusa County,CA-011,201904,0.43,2019,4
CA,011,Colusa County,CA-011,202004,0.77,2020,4
CA,011,Colusa County,CA-011,202104,0.15,2021,4
CA,011,Colusa County,CA-011,202204,0.57,2022,4
CA,011,Colusa County,CA-011,202304,0.49,2023,4
CA,013,Contra Costa County,CA-013,201304,0.78,2013,4
