state,county_code,county_name,state_county,date,value
CA,001,Alameda County,CA-001,201306,68.3
CA,001,Alameda County,CA-001,201406,68.1
CA,001,Alameda County,CA-001,201506,69.4
CA,001,Alameda County,CA-001,201606,69.4
CA,001,Alameda County,CA-001,201706,68.5
CA,001,Alameda County,CA-001,201806,67.4
CA,001,Alameda County,CA-001,201906,69
CA,001,Alameda County,CA-001,202006,69.2
CA,001,Alameda County,CA-001,202106,68.8
CA,001,Alameda County,CA-001,202206,69.4
CA,001,Alameda County,CA-001,202306,64
CA,003,Alpine County,CA-003,201306,57.2
CA,003,Alpine County,CA-003,201406,56.6
CA,003,Alpine County,CA-003,201506,59.3
CA,003,Alpine County,CA-003,201606,58.3
CA,003,Alpine County,CA-003,201706,56.5
CA,003,Alpine County,CA-003,201806,57.2
CA,003,Alpine County,CA-003,201906,54.3
CA,003,Alpine County,CA-003,202006,54.4
CA,003,Alpine County,CA-003,202106,61
CA,003,Alpine County,CA-003,202206,55.8
CA,003,Alpine County,CA-003,202306,51.7
CA,005,Amador County,CA-005,201306,70.9
CA,005,Amador County,CA-005,201406,71.7
CA,005,Amador County,CA-005,201506,74.2
CA,005,Amador County,CA-005,201606,72.3
CA,005,Amador County,CA-005,201706,71.4
CA,005,Amador County,CA-005,201806,71.2
CA,005,Amador County,CA-005,201906,70.9
CA,005,Amador County,CA-005,202006,69.8
CA,005,Amador County,CA-005,202106,74
CA,005,Amador County,CA-005,202206,70.4
CA,005,Amador County,CA-005,202306,65.9
CA,007,Butte County,CA-007,201306,72.8
CA,007,Butte County,CA-007,201406,73.8
CA,007,Butte County,CA-007,201506,76.6
CA,007,Butte County,CA-007,201606,73.2
CA,007,Butte County,CA-007,201706,74.1
CA,007,Butte County,CA-007,201806,73.1
CA,007,Butte County,CA-007,201906,74.2
CA,007,Butte County,CA-007,202006,73.4
CA,007,Butte County,CA-007,202106,76.1
CA,007,Butte County,CA-007,202206,73.8
CA,007,Butte County,CA-007,202306,70.1
CA,009,Calaveras County,CA-009,201306,71.1
CA,009,Calaveras County,CA-009,201406,71.6
CA,009,Calaveras County,CA-009,201506,74.3
CA,009,Calaveras County,CA-009,201606,72.1
CA,009,Calaveras County,CA-009,201706,71.6
CA,009,Calaveras County,CA-009,201806,71.2
CA,009,Calaveras County,CA-009,201906,71.1
CA,009,Calaveras County,CA-009,202006,69.8
CA,009,Calaveras County,CA-009,202106,74.5
CA,009,Calaveras County,CA-009,202206,70.9
CA,009,Calaveras County,CA-009,202306,66.1
CA,011,Colusa County,CA-011,201306,74.6
CA,011,Colusa County,CA-011,201406,76.5
CA,011,Colusa County,CA-011,201506,78
CA,011,Colusa County,CA-011,201606,75.2
CA,011,Colusa County,CA-011,201706,76
CA,011,Colusa County,CA-011,201806,74.8
CA,011,Colusa County,CA-011,201906,76.2
