state,county_code,county_name,state_county,date,value,year,month
CA,001,Alameda County,CA-001,201306,0.12,2013,6
CA,001,Alameda County,CA-001,201406,0.01,2014,6
CA,001,Alameda County,CA-001,201506,0.27,2015,6
CA,001,Alameda County,CA-001,201606,0,2016,6
CA,001,Alameda County,CA-001,201706,0.04,2017,6
CA,001,Alameda County,CA-001,201806,0,2018,6
CA,001,Alameda County,CA-001,201906,0,2019,6
CA,001,Alameda County,CA-001,202006,0,2020,6
CA,001,Alameda County,CA-001,202106,0,2021,6
CA,001,Alameda County,CA-001,202206,0.07,2022,6
CA,001,Alameda County,CA-001,202306,0.02,2023,6
CA,003,Alpine County,CA-003,201306,0.38,2013,6
CA,003,Alpine County,CA-003,201406,0.1,2014,6
CA,003,Alpine County,CA-003,201506,1,2015,6
CA,003,Alpine County,CA-003,201606,0.05,2016,6
CA,003,Alpine County,CA-003,201706,0.7,2017,6
CA,003,Alpine County,CA-003,201806,0.02,2018,6
CA,003,Alpine County,CA-003,201906,0.55,2019,6
CA,003,Alpine County,CA-003,202006,0.66,2020,6
CA,003,Alpine County,CA-003,202106,0.65,2021,6
CA,003,Alpine County,CA-003,202206,0.58,2022,6
CA,003,Alpine County,CA-003,202306,1.57,2023,6
CA,005,Amador County,CA-005,201306,0.74,2013,6
CA,005,Amador County,CA-005,201406,0.03,2014,6
CA,005,Amador County,CA-005,201506,0.27,2015,6
CA,005,Amador County,CA-005,201606,0.01,2016,6
CA,005,Amador County,CA-005,201706,0.69,2017,6
CA,005,Amador County,CA-005,201806,0.01,2018,6
CA,005,Amador County,CA-005,201906,0.08,2019,6
CA,005,Amador County,CA-005,202006,0.15,2020,6
CA,005,Amador County,CA-005,202106,0.15,2021,6
CA,005,Amador County,CA-005,202206,0.47,2022,6
CA,005,Amador County,CA-005,202306,0.32,2023,6
CA,007,Butte County,CA-007,201306,1.42,2013,6
CA,007,Butte County,CA-007,201406,0,2014,6
CA,007,Butte County,CA-007,201506,0.22,2015,6
CA,007,Butte County,CA-007,201606,0.52,2016,6
CA,007,Butte County,CA-007,201706,0.92,2017,6
CA,007,Butte County,CA-007,201806,0.02,2018,6
CA,007,Butte County,CA-007,201906,0.12,2019,6
CA,007,Butte County,CA-007,202006,0.22,2020,6
CA,007,Butte County,CA-007,202106,0.06,2021,6
CA,007,Butte County,CA-007,202206,1.26,2022,6
CA,007,Butte County,CA-007,202306,0.43,2023,6
CA,009,Calaveras County,CA-009,201306,0.59,2013,6
CA,009,Calaveras County,CA-009,201406,0.01,2014,6
CA,009,Calaveras County,CA-009,201506,0.2,2015,6
CA,009,Calaveras County,CA-009,201606,0.01,2016,6
CA,009,Calaveras County,CA-009,201706,0.39,2017,6
CA,009,Calaveras County,CA-009,201806,0,2018,6
CA,009,Calaveras County,CA-009,201906,0.04,2019,6
