state,county_code,county_name,state_county,date,value
CA,001,Alameda County,CA-001,201304,60
CA,001,Alameda County,CA-001,201404,58.8
CA,001,Alameda County,CA-001,201504,58
CA,001,Alameda County,CA-001,201604,59.1
CA,001,Alameda County,CA-001,201704,56.8
CA,001,Alameda County,CA-001,201804,56.8
CA,001,Alameda County,CA-001,201904,59.3
CA,001,Alameda County,CA-001,202004,57.6
CA,001,Alameda County,CA-001,202104,58.1
CA,001,Alameda County,CA-001,202204,57.2
CA,001,Alameda County,CA-001,202304,56.3
CA,003,Alpine County,CA-003,201304,41.6
CA,003,Alpine County,CA-003,201404,41.4
CA,003,Alpine County,CA-003,201504,40.4
CA,003,Alpine County,CA-003,201604,41.9
CA,003,Alpine County,CA-003,201704,38.4
CA,003,Alpine County,CA-003,201804,40.9
CA,003,Alpine County,CA-003,201904,42
CA,003,Alpine County,CA-003,202004,41.4
CA,003,Alpine County,CA-003,202104,42.3
CA,003,Alpine County,CA-003,202204,39.6
CA,003,Alpine County,CA-003,202304,39.4
CA,005,Amador County,CA-005,201304,57.9
CA,005,Amador County,CA-005,201404,56.8
CA,005,Amador County,CA-005,201504,55.6
CA,005,Amador County,CA-005,201604,56.4
CA,005,Amador County,CA-005,201704,52.9
CA,005,Amador County,CA-005,201804,54.6
CA,005,Amador County,CA-005,201904,57
CA,005,Amador County,CA-005,202004,55
CA,005,Amador County,CA-005,202104,57.1
CA,005,Amador County,CA-005,202204,54
CA,005,Amador County,CA-005,202304,54.1
CA,007,Butte County,CA-007,201304,60
CA,007,Butte County,CA-007,201404,59
CA,007,Butte County,CA-007,201504,58.4
CA,007,Butte County,CA-007,201604,59.9
CA,007,Butte County,CA-007,201704,54.5
CA,007,Butte County,CA-007,201804,56.8
CA,007,Butte County,CA-007,201904,60.3
CA,007,Butte County,CA-007,202004,58.9
CA,007,Butte County,CA-007,202104,60.5
CA,007,Butte County,CA-007,202204,57
CA,007,Butte County,CA-007,202304,56.5
CA,009,Calaveras County,CA-009,201304,58.3
CA,009,Calaveras County,CA-009,201404,56.8
CA,009,Calaveras County,CA-009,201504,56.1
CA,009,Calaveras County,CA-009,201604,56.9
CA,009,Calaveras County,CA-009,201704,53.4
CA,009,Calaveras County,CA-009,201804,55.4
CA,009,Calaveras County,CA-009,201904,57.3
CA,009,Calaveras County,CA-009,202004,55.5
CA,009,Calaveras County,CA-009,202104,57.7
CA,009,Calaveras County,CA-009,202204,54.6
CA,009,Calaveras County,CA-009,202304,54.6
CA,011,Colusa County,CA-011,201304,62.7
CA,011,Colusa County,CA-011,201404,61.6
CA,011,Colusa County,CA-011,201504,61
CA,011,Colusa County,CA-011,201604,61.6
CA,011,Colusa County,CA-011,201704,57.2
CA,011,Colusa County,CA-011,201804,59
CA,011,Colusa County,CA-011,201904,62.4
CA,011,Colusa County,CA-011,202004,61.4
CA,011,Colusa County,CA-011,202104,62.5
CA,011,Colusa County,CA-011,202204,58.5
CA,011,Colusa County,CA-011,202304,58.5
CA,013,Contra Costa County,CA-013,201304,61.9
CA,013,Contra Costa County,CA-013,201404,60.2
CA,013,Contra Costa County,CA-013,201504,59.7
CA,013,Contra Costa County,CA-013,201604,60.5
CA,013,Contra Costa County,CA-013,201704,57.9
CA,013,Contra Costa County,CA-013,201804,57.9
CA,013,Contra Costa County,CA-013,201904,61
CA,013,Contra Costa County,CA-013,202004,59.2
CA,013,Contra Costa County,CA-013,202104,59.6
CA,013,Contra Costa County,CA-013,202204,58.6
CA,013,Contra Costa County,CA-013,202304,57.6
CA,015,Del Norte County,CA-015,201304,50.9
CA,015,Del Norte County,CA-015,201404,50.8
CA,015,Del Norte County,CA-015,201504,49.3
CA,015,Del Norte County,CA-015,201604,52.4
CA,015,Del Norte County,CA-015,201704,45.6
CA,015,Del Norte County,CA-015,201804,48.2
CA,015,Del Norte County,CA-015,201904,51
CA,015,Del Norte County,CA-015,202004,51.2
CA,015,Del Norte County,CA-015,202104,51.9
CA,015,Del Norte County,CA-015,202204,45.2
CA,015,Del Norte County,CA-015,202304,46.6
CA,017,El Dorado County,CA-017,201304,52.6
CA,017,El Dorado County,CA-017,201404,51.8
CA,017,El Dorado County,CA-017,201504,50.8
CA,017,El Dorado County,CA-017,201604,52.1
CA,017,El Dorado County,CA-017,201704,48.1
CA,017,El Dorado County,CA-017,201804,50
CA,017,El Dorado County,CA-017,201904,52.2
CA,017,El Dorado County,CA-017,202004,51
CA,017,El Dorado County,CA-017,202104,52.6
CA,017,El Dorado County,CA-017,202204,49.3
CA,017,El Dorado County,CA-017,202304,49.2
CA,019,Fresno County,CA-019,201304,55.8
CA,019,Fresno County,CA-019,201404,55.1
CA,019,Fresno County,CA-019,201504,53.8
CA,019,Fresno County,CA-019,201604,54.6
CA,019,Fresno County,CA-019,201704,51.9
CA,019,Fresno County,CA-019,201804,54
CA,019,Fresno County,CA-019,201904,55.5
CA,019,Fresno County,CA-019,202004,53.1
CA,019,Fresno County,CA-019,202104,55.5
CA,019,Fresno County,CA-019,202204,52.8
CA,019,Fresno County,CA-019,202304,52.6
CA,021,Glenn County,CA-021,201304,60.5
CA,021,Glenn County,CA-021,201404,59.1
CA,021,Glenn County,CA-021,201504,58.9
CA,021,Glenn County,CA-021,201604,59.8
CA,021,Glenn County,CA-021,201704,54.6
CA,021,Glenn County,CA-021,201804,56.7
CA,021,Glenn County,CA-021,201904,60.4
CA,021,Glenn County,CA-021,202004,59.8
CA,021,Glenn County,CA-021,202104,60.9
CA,021,Glenn County,CA-021,202204,56.6
CA,021,Glenn County,CA-021,202304,56.4
CA,023,Humboldt County,CA-023,201304,52.2
CA,023,Humboldt County,CA-023,201404,53
CA,023,Humboldt County,CA-023,201504,51.5
CA,023,Humboldt County,CA-023,201604,55.3
CA,023,Humboldt County,CA-023,201704,49.9
CA,023,Humboldt County,CA-023,201804,51.6
