#  Mariposa County, California February Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201302,41.9
201402,45.9
201502,50.3
201602,49.4
201702,42.9
201802,43.3
201902,36
202002,46.9
202102,43.8
202202,43.8
202302,39
