#  Contra Costa County, California February Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201302,50.4
201402,53.2
201502,56.7
201602,56.3
201702,51.6
201802,52.9
201902,46.4
202002,55.4
202102,52.8
202202,53.2
202302,47.8
