#  Colusa County, California February Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201302,49.6
201402,51.8
201502,55.8
201602,54.8
201702,50.1
201802,51.5
201902,44.4
202002,53.9
202102,51.4
202202,51.3
202302,46.8
