#  Mono County, California February Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201302,29.9
201402,35
201502,39.3
201602,36.2
201702,31.1
201802,30.3
201902,23.3
202002,34.1
202102,31.9
202202,31.5
202302,25.7
