#  Tehama County, California February Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201302,47
201402,48
201502,53.1
201602,51.8
201702,46
201802,47.6
201902,39.4
202002,50.9
202102,47.3
202202,49.4
202302,43
